Global CO2 emissions from fossil fuel use and cement production 1970-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions,"2016 update with 2015 emissions of fossil fuel use and industrial processs emissions (cement production, carbonate use of limestone and dolomite, non-energy use of fuels and other combustion, chemical and metal processes, solvents, agricultural liming and urea, waste and fossil fuel fires). Excluded are: short-cycle biomass burning (such as agricultural waste burning), large-scale biomass burning (such as forest fires) and carbon emissions/removals of land-use, land-use change and forestry (LULUCF).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Substance:,"CO2 country totals excluding short-cycle biomass burning (such as agricultural waste burning) and excluding large-scale biomass burning (forest fires, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit:,kton (Gg) CO2 per year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,14/11/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources:,"EDGARv4.3.2, European Commission, Joint Research Centre (JRC)/PBL Netherlands Environmental Assessment Agency. Emission Database for Global Atmospheric Research (EDGAR), release version 4.3.2. http://edgar.jrc.ec.europe.eu, 2016 forthcoming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The EDGARv4.3.2FT2015 emissions are calculated based on:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,21700,25220,25261,27585,29727,34186,42909,39673,43785,53920,48514,34882,37182,41059,44768,50269,58700,58912,63615,70492,66894,54680,76331,100713,111655,112311,103521,121144,91508,74534,84635,89444,92916,87215,89074,89149,73198,79652,90416,107856,121820,129930,140741,153829,158010,160623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,21679,21739,21297,23071,25021,25699,27183,29660,31795,32254,33106,33333,33183,35793,37522,35056,35705,37421,39266,40757,36947,28484,22750,20803,22304,23634,25615,28013,27545,28319,28703,27669,26410,25639,25191,26040,26525,27446,25951,33314,30692,29305,29841,32871,33753,34459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,21296,20871,21355,22590,23401,23592,23335,23761,24671,26976,24227,23247,24447,25576,24314,25286,27154,25635,28001,28518,25070,17810,16383,16815,16157,16667,16580,18374,19546,19720,19215,20335,21156,22515,22519,22695,22888,24599,23279,21673,20735,20623,20354,20151,20226,20538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,21018,23574,23114,22725,24575,23007,23639,25196,24994,29313,28154,27833,27469,27069,27115,28674,29570,31133,30257,31302,32385,32910,32863,33096,34329,34799,36205,37492,40023,41518,43737,45945,45120,44698,45684,47439,48863,47671,46992,41850,41717,36962,36364,35409,34882,36635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,19890,19958,21292,22929,24540,26735,27849,28836,29833,30859,32066,32468,32505,32618,33145,33271,33564,33786,33713,33240,34954,36903,20825,16142,15541,14824,15308,14817,15631,13120,11436,12161,12260,12256,12877,13616,13957,15070,14991,12616,13425,13516,13833,12752,12478,12478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,19181,19217,20420,21568,22790,24784,26129,27163,28234,29366,31321,32496,33700,34895,36350,38136,39217,40375,41405,42334,45628,38760,28581,27109,34105,34553,31377,31238,32409,38276,39080,40513,43216,48354,50374,52336,54360,60169,63274,54895,61710,67220,69720,70893,80553,94236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,19002,19189,18827,20002,21246,23499,22765,23958,25325,27377,29263,31803,35743,37825,40517,44439,45907,53516,57719,59956,63081,64243,70765,76507,79931,85209,91621,95027,96795,105912,106770,109138,109892,116682,130881,132805,143627,159407,155820,158387,154325,154691,153809,156045,165985,174843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,18413,17168,16873,18219,16890,13412,14289,13578,14850,13979,13144,11164,10487,9838,10774,10967,10706,10176,10714,11520,11660,12113,11766,11997,11114,8872,8931,8406,7748,8110,8703,9279,9969,10394,11825,12046,11874,11277,11163,10538,11147,11017,10636,10034,10097,10235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,17897,17970,20353,22932,22968,23527,26923,29805,33078,35194,36949,36311,35120,39058,42860,48171,49633,57326,65396,76189,92617,102540,112130,127040,142118,160910,180837,184380,162868,170367,170728,179445,190642,199412,217958,225479,228576,234029,236316,229451,243361,249874,258478,268589,277664,279253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,17752,20732,31434,42233,36009,33033,42689,47310,52435,53170,53319,51032,53874,56477,59091,67464,70780,68397,69294,69576,66529,71308,77842,78316,75660,78013,76747,75486,75935,79051,81762,80658,84496,90993,90460,96288,101399,104251,108779,112547,114750,120271,128343,131435,141615,147692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,17513,22762,24822,32017,32182,32961,40964,41743,47874,35208,38654,36482,36767,35447,48001,50003,49058,51203,50396,56418,56395,64188,61956,65314,71942,76753,84998,83724,87059,89414,93419,93791,104524,110448,115552,118830,125920,136352,158731,163605,170972,176736,187450,190141,190540,199253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,17262,17282,17261,18290,19825,20214,20652,20341,20451,21352,22507,23267,22897,19423,20149,19457,21149,22853,23166,20875,20723,20144,20962,21983,22630,25724,28279,28170,27107,29182,28878,26830,27988,27467,31665,31672,31255,34179,38723,41618,44939,47985,48000,49701,51140,52572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,17248,17132,16664,18567,15361,18018,13037,14179,14773,15419,16101,16562,17937,19352,19394,19559,21466,23898,23430,20099,20335,20454,21404,25106,29387,33791,38055,43957,49172,50298,55583,61092,72082,76639,90758,99147,101950,112782,124584,140823,154589,161729,165021,169176,187942,206028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,16447,17646,17949,20178,20038,21629,22972,22691,23576,26232,27949,29361,29908,30416,29312,28065,31633,32553,33685,41943,43076,45077,48817,47717,49303,52966,51060,53338,57989,64860,64294,63483,67481,62453,63915,67215,61123,60622,57933,57753,52027,51622,49107,47732,47283,50792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Moldova,16390,16417,17587,19121,20628,22436,23662,24126,25077,25666,26919,26576,26963,27236,27444,27671,28447,29328,29472,29324,31856,25668,20364,17238,13993,12081,10401,9447,8529,7220,6694,6995,7139,7691,7746,8364,8073,8107,7936,7705,8298,8389,8343,7365,7375,7569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,15644,15680,14588,15957,17198,17666,16142,17518,17087,16754,16550,18963,20882,22301,22011,22832,23104,22066,21619,21988,24441,21881,16169,13569,3278,3492,4376,8702,11012,10857,14237,14042,14788,15136,16136,17014,18896,19912,21820,21857,22539,25419,24880,24757,23516,24637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,15193,15222,16244,17214,18139,19183,20014,20589,22241,22723,23970,22994,21984,20960,20060,19496,19436,21127,21770,21855,23588,21195,13862,10158,6617,4658,5832,5765,6101,4859,4741,4005,5007,5625,5565,4148,4002,4975,5370,4100,4963,5174,7290,6977,6832,7050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,15117,14707,16937,18490,19501,18419,20222,20845,19574,17823,17840,17665,19367,19626,20053,20600,19612,20860,22104,22154,23719,24423,26134,25951,26375,27071,28397,30868,30342,32134,33320,35479,35536,37428,36090,36750,36762,35977,36869,33941,33900,33261,33664,33124,33739,33660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,14856,14880,15635,16721,17195,18027,18029,18805,20032,20409,20300,21154,22328,23106,23948,25620,28037,30639,32470,33748,35181,35833,38364,42068,45029,48087,51252,52905,53485,54929,59257,59248,62498,64256,64121,62016,65167,67550,67916,67102,70421,69827,70929,64889,63035,65716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,14516,14516,14114,15608,14124,10197,10849,10983,9272,9182,8678,8042,7296,6829,6690,4499,4297,3965,3459,2956,2666,2766,2883,2367,2665,2671,2700,5312,5492,5470,5691,5779,5530,5540,5786,6092,6006,6526,6456,6045,4940,6480,6470,6471,6471,6471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,13657,13671,14748,15709,16021,17540,17461,18278,18395,19413,19468,20326,20258,20527,20383,20377,21004,21055,21288,20936,20319,18507,14706,12402,10891,9553,9604,8967,8589,7912,7296,7652,7606,7839,7867,7981,8425,8799,8295,7545,8546,7792,7797,7769,7816,7973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,13593,13955,13940,14487,17235,18497,20371,20307,22306,25116,26985,28581,30128,33495,34632,36190,36348,37399,39928,47021,54959,65532,68616,74516,80055,86172,98361,105388,103867,113711,124436,129316,140064,149185,164348,175956,183252,200817,213613,192125,205448,212224,215643,232041,235668,245371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,13237,16396,19705,22157,18711,18157,16868,15221,17054,16291,13713,11487,12281,11194,15749,14959,15746,15915,16276,17043,16535,17605,18546,19102,20091,20592,22293,27041,28627,31285,30700,31385,35299,37279,40158,42530,47789,54562,59731,63930,71805,76264,83164,85811,84471,88825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,10826,10844,11652,12711,13761,15143,15642,16232,16840,17502,18611,19008,19521,19616,19705,19939,20074,20323,20338,19974,20572,21434,10880,5059,2766,3502,2561,3319,3450,3087,3551,3617,3087,3460,3726,4433,4472,5185,5687,4549,4124,4715,4714,4552,4525,4637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,10297,10233,9689,11206,10865,9482,10581,9779,9166,9538,9979,9168,8883,8821,9222,10611,12616,15886,15161,15241,17110,18846,18958,17376,16269,16036,15441,14583,14796,16824,14307,13931,13057,11458,10598,11773,10875,10527,8032,8727,9673,10568,10889,11427,13973,13692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, Hong Kong SAR",9512,9552,9840,9929,11384,11267,13088,15184,16181,15062,15523,16840,18058,20768,22687,23688,27000,29550,32777,34257,35125,38071,42503,45021,38548,38556,37246,34781,43355,46277,42126,43340,42044,44706,42759,43090,42551,45583,44572,47753,42418,47367,47416,48413,49261,45703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The former Yugoslav Republic of Macedonia,9084,8519,8701,10135,10451,8276,9002,9405,9343,10625,9537,9993,8817,8244,9341,9807,10076,10051,10604,10623,11165,9875,8752,8987,8719,8663,10204,9188,10090,9321,9008,9193,8666,9416,9174,9644,9648,10328,10118,9093,9130,10132,9820,9841,9607,9787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,8120,8065,8195,9304,10005,9426,9796,10336,11416,12141,11351,11578,11874,13275,11907,11983,12745,10961,15146,16291,15392,14262,13743,14506,14703,15570,16438,16951,16724,16123,15797,17515,17663,17393,17597,17738,18075,18004,18941,17098,16138,16111,15994,15511,15178,15610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,8079,7719,9446,10294,10709,9882,6669,10781,12833,12798,12924,11952,11503,11916,12026,12761,12894,13132,13577,13729,10402,10900,11191,11239,10669,11930,14364,15022,15512,16509,15160,14936,14770,16206,16299,14835,15759,16376,18637,20483,23221,23212,22184,22012,22497,23025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,7499,7533,7929,8309,8689,9381,9634,9883,10146,10404,10878,10903,10930,11066,10952,11434,11846,12037,12253,12360,12155,11594,8580,5716,3518,2982,2645,2947,3162,2968,2709,2664,2733,2793,3323,3172,3465,4037,3732,3529,3597,3590,3570,4227,4481,4581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,7421,7496,8218,9424,10340,11006,12107,13448,14457,15785,16366,16563,17375,18346,18511,19355,19929,20529,21778,23651,24653,25350,27185,26991,29709,30397,30324,32050,32741,34351,35446,38663,40185,39379,42947,46250,46269,47965,48631,48444,51172,54731,55583,54636,58392,59246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,6522,6545,7838,8741,9131,9178,9987,11083,12704,13662,13710,14849,15502,16826,17051,17643,18089,18344,20948,22238,30324,32178,33368,38588,40619,43399,45485,45452,45216,48415,48689,48789,46880,48779,40303,40324,41769,43390,44036,42191,45444,44715,44651,45136,46786,48531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,6472,6473,6480,6513,6856,22793,25414,25394,21049,19047,11591,12966,11389,13026,11353,9044,10683,10408,11547,11493,15008,18510,17632,16673,15144,18362,19393,19927,19491,21971,24552,27901,29891,31738,31242,33887,42298,46338,52761,60425,64665,71677,72829,75202,74855,78446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
